source,country,search_word,createDate,language,text
Twitter,India,practo,2021-4-26,en,@practo well first check your dm and contact me asap as your application have major issues like really need to get it fix asap 
Twitter,India,practo,2021-4-26,en,hey @practo you all doing good but you have some application issue and some more issue with medicine pricing  please contact me asap  i have put my contact details over dm  @practo
Twitter,India,practo,2021-4-26,en,@practo i booked online consultation but @practo dont care about the patientsi have been charged online appointment was scheduled for 630 pm and doctor didnt respondcustomer care also didnt respondplease initiate refund for no service pathetic service @practo 8368268361
Twitter,India,practo,2021-4-26,en,@practo in current scenario @practo is committing fraud by making false transaction i booked same video consultation twice and was charged 600 rupees twice but the consultation is not showing up on website transaction ids  t2104261345024113233197 t2104261345024113233197
Twitter,India,practo,2021-4-26,en,@practo i have done that plz check
Twitter,India,practo,2021-4-26,en,@iamkrishnamali @satyajeettambe @iyc @practo hi i can help you i am dr sankar working as covid specialist since 1yr my contact number is 7780455125
Twitter,India,practo,2021-4-26,en,@practo thanks @practo for the prompt action
Twitter,India,practo,2021-4-26,en,indias next 35 unicorns may include practo bharatpe eruditus vedantu  @peerzadaabrar reports  #unicorn  httpstcocgalaf2sdh
Twitter,India,practo,2021-4-26,en,@mriconoclastt there are many online consultation  check practo apollo
Twitter,India,practo,2021-4-26,en,@hunkernits hi nitesh this is not the experience that we would like you to have we are sorry for this inconvenience please dm us your registered contact details so that we can check this issue and update you thanks
Twitter,India,practo,2021-4-26,en,@jagmohangoyal2 hi we are sorry for this inconvenience please dm us your registered contact details so that we can get in touch thanks
Twitter,India,practo,2021-4-26,en,@viveksi10981019 @arogyasetu @icmrdelhi anyway  how u holding up  what precautions and medication u r taking i consulted a doctor on practo app onlinehoping to get normal soon
Twitter,India,practo,2021-4-26,en,@desimarthastew practo app has lots of options
Twitter,India,practo,2021-4-26,en,the largest bridges built in #covidemergency2021 are by #technology cos @whatsapp amp @practo powering #telemedicine heres my mom #drjyotigulati sitting in #pune while consulting #covid19 patients all the way from #bihar amp #gujrat #indiafightscovid19 #healthworkersfightback httpstcohpwdzl1cac
Twitter,India,practo,2021-4-26,en,@desimarthastew @notmengele practo now shows which doctors consult online look for the camera icon on the doctors photo httpstco9gwlyerv3z
Twitter,India,practo,2021-4-26,en,@practo never use practo its a scami asked for a urologist consultation but the doctor allocated was not urologist he asked me to consult urologist then what is the use of my consultation either allocated specialized doctor or plz dont show the fake list of docs on homepage
Twitter,India,practo,2021-4-26,en,@wolfmomz @notmengele im not confident with practo because ive had doctors hound me with calls amp messages at midnight if i dont continue treatment due to it not working for me and then having my entire case history being outted in the review section when i document it there
Twitter,India,practo,2021-4-26,en,@navdhad @gauravsaha oh this poor kid  got two appointments via practo doctors  cancelled
Twitter,India,practo,2021-4-26,en,with 52 unicorns india’s fast changing startup ecosystem poised to witness 35 soonicorns transforming themselves sooner into unicorns demonstrates how india has embarked on a mission to become the global startup hub with the largest share of unicorns httpstcovy6w3f7yuz
Twitter,India,practo,2021-4-26,en,@suddentwilight practo has good docs you can try that
Twitter,India,practo,2021-4-26,en,you can help and make a profit with our contentment docstar👩‍⚕️🧑‍⚕️ for a lot of people dont miss the chance to endorse the universe🏆  explore our product👇 httpstcoixh1h4puol  follow us @abservetech    #docstar #uberdocclone #uberdocclonescript #practoclone #abservetech httpstco5hi1cqndmg
Twitter,India,practo,2021-4-26,en,its raining 🦄 in india  httpstcoyjfowekbxk
Twitter,India,practo,2021-4-26,en,@mohitmgulati @whatsapp @practo please thank aunty
Twitter,India,practo,2021-4-26,en,@ankur0906 @amitshahenshah yestake practo consultation n medicationbestcases kharaab hote hai test n result ka wait karne me
Twitter,India,practo,2021-4-26,en,@writeskaybee @sloganmurugan most sure shot way so far is practo almost immediate appointments
Twitter,India,practo,2021-4-26,en,@practo trying to book lab test not able to do so no customer caresupport being plus member httpstco70djupyu67
Twitter,India,practo,2021-4-26,en,@docsappin purchased goldtwo days back yet not activated no one pickup phone and response to our email ticket 1640132 #practo
Twitter,India,practo,2021-4-26,en,with india suffering from the second wave of covid19 infections here are a few factors which could make you more vulnerable to contracting it  please consult a doctor online on practo for any medical queries httpstcoflp5ioqq4b  #covid19india #indiafightscoronatogether httpstconqgm3k2dim
Twitter,India,practo,2021-4-26,en,@vijaygajera use practo app
